Actual var, Bound, Percent Error
0.0005663905428708672,0.0005623840416387288,-0.71
4.58650051509513e-05,4.57792800395017e-05,-0.19
0.00016626462614628205,0.00016611674707835963,-0.09
1.2193021095545338e-05,1.2187727214138609e-05,-0.04
0.0005664765162116551,0.000559120967680041,-1.32
0.0003547822720622751,0.00035438943839523514,-0.11
0.0007321872557848321,0.0007140921638224758,-2.53
0.0009452395865201938,0.0009199000482583582,-2.75
0.00018147652954180667,0.00018090392172248788,-0.32
0.00014196547733213896,0.00014177063796717667,-0.14
0.00018749357680287573,0.00018717645956547316,-0.17
0.0007564188641551011,0.0007534045451981459,-0.40
0.0022449891239749316,0.0022164746657715667,-1.29
0.0002640629015096872,0.0002626520861102921,-0.54
0.001227317813809506,0.0011991740417942054,-2.35
0.0002143075331606145,0.00021390901994587397,-0.19
0.0003057870545135407,0.00030531537591132443,-0.15
1.3118170958082989e-05,1.3117313447895038e-05,-0.01
0.00016568530112001217,0.0001646993147531834,-0.60
0.0005123354594521246,0.0005058873018289856,-1.27
0.001648913750507793,0.0015932810304979772,-3.49
8.485795485602275e-05,8.48271325760433e-05,-0.04
0.0007320796868855866,0.0007251431955214263,-0.96
0.00015958001444854486,0.0001591639807653348,-0.26
0.001480242855137512,0.0014333654406482339,-3.27
0.001252487430863241,0.0012272041520631917,-2.06
2.885992792577783e-05,2.8839742253185252e-05,-0.07
4.34211159653378e-05,4.34067203061934e-05,-0.03
5.459009611776986e-05,5.457738093559741e-05,-0.02
0.00030231646421729016,0.0003007421384777521,-0.52
0.0002985359615832311,0.0002963708474516112,-0.73
3.581838996833857e-05,3.5814674827458826e-05,-0.01
6.889730806547787e-06,6.889522874389192e-06,-0.00
0.0004655411470933505,0.00046306024310493397,-0.54
0.0002237557781738612,0.00022328476822295094,-0.21
0.0007259501634010796,0.0007177285104429813,-1.15
0.0003141496200429157,0.0003124630773900213,-0.54
9.612352143392207e-05,9.608040111247746e-05,-0.04
0.0020266974434185727,0.0019408202454553592,-4.42
4.498879500645916e-05,4.482085571668413e-05,-0.37
0.0007745051105091359,0.0007626709359527646,-1.55
4.975472979366905e-05,4.973694207105349e-05,-0.04
0.000764355245615003,0.0007565610153048444,-1.03
0.00013536118622688688,0.00013511246409388765,-0.18
0.00011862754802823736,0.00011831062235327949,-0.27
0.0010447492514552607,0.0010359346028973706,-0.85
0.0010839408631537798,0.0010675467723734132,-1.54
0.0007076043318241264,0.0006873437058017865,-2.95
0.0004434270334456775,0.00043993231882122585,-0.79
0.00023612020891263468,0.000235670782470778,-0.19
0.0005562202480409301,0.0005533540365270121,-0.52
0.0002716561140838317,0.00026994581394873676,-0.63
0.0001829760679346665,0.00018250105984228925,-0.26
0.0008363652866625665,0.0008264145846492807,-1.20
0.000186364981146,0.00018543013197087546,-0.50
0.0006532943570129023,0.0006479730894922656,-0.82
0.0010315905676515954,0.0010162380226849245,-1.51
0.0024527282753584894,0.002411670874572533,-1.70
6.522804715573622e-05,6.518632845405261e-05,-0.06
1.3157770339892318e-05,1.3156923729858594e-05,-0.01
0.0009205283171982655,0.0009163494526343099,-0.46
0.00015479681761079592,0.00015458750801189647,-0.14
0.0006533599045596494,0.0006457706035927981,-1.18
0.00033892433778236837,0.00033375173073889043,-1.55
0.001073842172603456,0.0010573655759881734,-1.56
0.0034733086115805055,0.00330137191971014,-5.21
0.00011443073497948647,0.00011422864762448973,-0.18
4.5945024535210264e-05,4.593987370760516e-05,-0.01
0.00015418531202797284,0.00015318424218161518,-0.65
0.0009019853721339941,0.0008853326442067349,-1.88
7.014936306414382e-05,6.998564135757098e-05,-0.23
0.0010009722447463522,0.000985313396673859,-1.59
0.0004258186875433491,0.0004248319945150647,-0.23
0.001928482926014683,0.001841973769309795,-4.70
0.0004807731864702308,0.0004732125602470845,-1.60
0.0012782302094432165,0.0012476836005040576,-2.45
0.000370436552729103,0.00036823873714365233,-0.60
0.0009064171835949791,0.0008971809562845218,-1.03
0.00022329721289493227,0.00022307117168813068,-0.10
0.0010053426580285533,0.0009902616139558572,-1.52
0.0020407947361838694,0.0019946206767871163,-2.31
0.0004675207987148617,0.0004650499599445106,-0.53
0.0006119325657857447,0.0006070028361911148,-0.81
0.0006732696407452222,0.000664435359985342,-1.33
0.000113246392321251,0.00011314832456874979,-0.09
0.0011566887972598867,0.0011239312448029662,-2.91
0.0003020676940954643,0.0003005560704488139,-0.50
0.0003422361118621975,0.0003405422433093335,-0.50
0.0007142901781981923,0.0007118928135887247,-0.34
0.00034976171403454723,0.00034706776088784844,-0.78
0.0006058107597469466,0.0006010882301253381,-0.79
0.000411931352891413,0.0004082133898599555,-0.91
0.0011323977535777014,0.0011006259939779276,-2.89
0.0002678105533492635,0.00026649720418809285,-0.49
0.00016863892468365355,0.00016809731850548213,-0.32
0.00019776064508377216,0.00019734107019679038,-0.21
0.00012967658421904446,0.00012906230279503348,-0.48
0.00042737175684019426,0.00042338772612853935,-0.94
0.0014468452592795386,0.0014117600793751787,-2.49
0.00018433293907093318,0.00018318594262396046,-0.63
0.0008139941821026006,0.0008042066973018564,-1.22
6.591463105404267e-05,6.587345418334871e-05,-0.06
0.00010441963427775234,0.0001041426936731115,-0.27
0.0004134583351852712,0.00040635635152163024,-1.75
0.00011313851812699298,0.00011298549493150866,-0.14
0.00027306196379977594,0.0002717088475778646,-0.50
3.847521101706568e-05,3.8455403166173545e-05,-0.05
0.0008159154961882633,0.0007996740646614382,-2.03
0.0011298474612492762,0.0011094542129864448,-1.84
0.0003968733802087803,0.0003963736772896262,-0.13
3.399126906930508e-05,3.3983756954245497e-05,-0.02
0.00017970640630879012,0.00017958152814601732,-0.07
0.00048642548916119253,0.00048461759603952314,-0.37
0.0014246050794459167,0.001405167686843368,-1.38
0.00027970963269472273,0.00027826910744836107,-0.52
0.0007084712004724039,0.0007057598302078104,-0.38
0.0013228507177529699,0.001283519130126381,-3.06
0.00026495756240852163,0.0002644754174682583,-0.18
0.0003028725918877768,0.0003015847222035525,-0.43
9.31171054153905e-05,9.29806385371637e-05,-0.15
0.0005953108850650739,0.0005891891057603211,-1.04
0.00013679542499016537,0.00013665378845020783,-0.10
2.2520082626239968e-05,2.2518258474351562e-05,-0.01
0.00048287262923526043,0.0004798204615032732,-0.64
4.511717600032569e-05,4.51059955691445e-05,-0.02
0.0010980818659563783,0.001091402044270699,-0.61
0.0007773907665229744,0.0007711799039196637,-0.81
0.00033190462755260276,0.0003314604780242803,-0.13
2.9063456518545937e-05,2.9059356298699604e-05,-0.01
0.0002987101743279429,0.00029568499062180653,-1.02
0.0016018576879034073,0.0015798861514673384,-1.39
3.650255169830224e-05,3.648919184482688e-05,-0.04
0.00020619301286629283,0.00020565751754911951,-0.26
0.0002435037484889151,0.00024207567296321344,-0.59
0.0032536806806841953,0.0030968475201413226,-5.06
0.002013865022100587,0.0019442779113944394,-3.58
0.0004987108608655286,0.0004955796241530084,-0.63
0.00034274472248610113,0.00034144827691107626,-0.38
0.0004227806542826663,0.0004208333902625161,-0.46
5.506306358522529e-05,5.5048549817304944e-05,-0.03
5.320632501329604e-05,5.3194387981604756e-05,-0.02
0.00037540199313515217,0.00037443854898752525,-0.26
0.0001646828411617286,0.0001638974715311489,-0.48
0.00015283856162607104,0.0001527352498457011,-0.07
0.0007957703574141573,0.0007843788143468985,-1.45
7.898240320544364e-05,7.889077495449368e-05,-0.12
3.501229063783453e-05,3.500383305756932e-05,-0.02
0.0003876109707511672,0.0003867421423455284,-0.22
0.0002499438518506236,0.0002479968349469301,-0.79
0.00041003241730022997,0.0004068736552163414,-0.78
6.639362878778566e-05,6.637488417140503e-05,-0.03
0.0003656114913087389,0.0003618669553200753,-1.03
0.0004785502385819118,0.00047516600302668254,-0.71
0.0003613069416770638,0.0003571941764405715,-1.15
9.974631099967498e-05,9.964853009885123e-05,-0.10
0.00018021521541251062,0.0001801110551317654,-0.06
0.000670338576662598,0.0006634772858383742,-1.03
5.806536262530645e-05,5.803468324222943e-05,-0.05
0.00014329294493527979,0.00014301522875266405,-0.19
0.0009340006261410267,0.000928357892567487,-0.61
7.97445222046151e-05,7.971561547514778e-05,-0.04
0.00024230455391094735,0.00024204494008679548,-0.11
0.00013369676111752682,0.0001333872077285386,-0.23
0.00024125764745871323,0.00023960205118266585,-0.69
5.2610681694295664e-05,5.258874487910967e-05,-0.04
